model,model_label,count,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,best_dev_f1_mean,best_dev_f1_std,best_epoch_mean,best_epoch_std,elapsed_mean,elapsed_std,params_mean,group,text_backbone,text_backbone_label,audio_backbone,audio_backbone_label,video_backbone,video_backbone_label,d_model,num_experts,text_cfg
variant2,,1,0.6207,,0.589,,0.5574,,9.0,,1828.6,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,1024.0,16.0,
variant2,,1,0.5954,,0.5711,,0.5478,,4.0,,362.9,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,256.0,8.0,
variant2,,1,0.5429,,0.5413,,0.537,,8.0,,652.4,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,256.0,16.0,
variant2,,1,0.5759,,0.5356,,0.513,,6.0,,576.9,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,512.0,8.0,
variant2,,1,0.564,,0.5384,,0.5388,,5.0,,783.6,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,512.0,16.0,
variant2,,1,0.5732,,0.542,,0.5258,,11.0,,1432.1,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,1024.0,8.0,
variant2,,1,0.5831,,0.5456,,0.5289,,9.0,,1817.9,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,1024.0,16.0,
variant3,,2,0.5646,0.0496,0.5484,0.0457,0.5337,0.0334,9.0,1.4142,451.75,21.991,768,by_model_text_dmodel_experts,TFE-A,,,,,,256.0,8.0,
variant3,,2,0.5868,0.0311,0.5576,0.0367,0.5335,0.0359,6.0,0.0,413.7,0.2828,768,by_model_text_dmodel_experts,TFE-A,,,,,,256.0,16.0,
variant3,,2,0.5948,0.0317,0.5594,0.0319,0.5394,0.0257,4.0,1.4142,380.5,38.608,768,by_model_text_dmodel_experts,TFE-A,,,,,,512.0,8.0,
variant3,,2,0.6014,0.0301,0.566,0.0324,0.5343,0.028,6.0,1.4142,581.55,52.2552,768,by_model_text_dmodel_experts,TFE-A,,,,,,512.0,16.0,
variant3,,2,0.5559,0.0357,0.5219,0.0281,0.4977,0.032,5.0,0.0,746.5,12.1622,768,by_model_text_dmodel_experts,TFE-A,,,,,,1024.0,8.0,
variant3,,2,0.5398,0.0146,0.5137,0.0461,0.5039,0.0537,6.0,2.8284,1059.9,174.7968,768,by_model_text_dmodel_experts,TFE-A,,,,,,1024.0,16.0,
variant3,,2,0.5666,0.0173,0.5373,0.0071,0.5216,0.017,6.0,2.8284,391.0,42.9921,1024,by_model_text_dmodel_experts,TFE-B,,,,,,256.0,8.0,
variant3,,2,0.5769,0.0149,0.5474,0.0149,0.5298,0.009,6.0,1.4142,424.45,50.841,1024,by_model_text_dmodel_experts,TFE-B,,,,,,256.0,16.0,
variant3,,2,0.5452,0.0385,0.5322,0.0285,0.5238,0.0049,8.5,3.5355,518.0,113.7028,1024,by_model_text_dmodel_experts,TFE-B,,,,,,512.0,8.0,
variant3,,2,0.5715,0.0192,0.5436,0.0199,0.518,0.009,6.5,0.7071,604.9,41.0122,1024,by_model_text_dmodel_experts,TFE-B,,,,,,512.0,16.0,
variant3,,2,0.5565,0.0057,0.5336,0.004,0.5216,0.0018,5.0,1.4142,742.35,80.1152,1024,by_model_text_dmodel_experts,TFE-B,,,,,,1024.0,8.0,
variant3,,2,0.5404,0.0133,0.4887,0.0361,0.4698,0.0462,4.0,1.4142,940.4,90.7925,1024,by_model_text_dmodel_experts,TFE-B,,,,,,1024.0,16.0,
variant3,,5,0.4877,0.0659,0.4538,0.0642,0.4355,0.0567,7.6,4.5056,422.52,125.0012,1024,by_model_text_dmodel_experts,TFE-C,,,,,,256.0,8.0,
variant3,,5,0.4894,0.0643,0.4509,0.0721,0.437,0.0613,7.4,3.4351,458.0,95.4217,1024,by_model_text_dmodel_experts,TFE-C,,,,,,256.0,16.0,
variant3,,5,0.4802,0.0636,0.447,0.0591,0.427,0.0616,6.6,2.3022,465.9,63.9355,1024,by_model_text_dmodel_experts,TFE-C,,,,,,512.0,8.0,
variant3,,5,0.4797,0.073,0.4492,0.0657,0.4279,0.0676,8.8,7.9812,676.6,229.5625,1024,by_model_text_dmodel_experts,TFE-C,,,,,,512.0,16.0,
variant3,,5,0.4597,0.0502,0.4401,0.0489,0.4245,0.0625,9.0,5.7879,947.68,281.359,1024,by_model_text_dmodel_experts,TFE-C,,,,,,1024.0,8.0,
variant3,,5,0.4619,0.0779,0.4259,0.0608,0.4092,0.0608,7.8,6.7602,1181.52,434.8197,1024,by_model_text_dmodel_experts,TFE-C,,,,,,1024.0,16.0,
variant3,,1,0.5981,,0.5902,,0.583,,7.0,,415.4,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,256.0,8.0,
variant3,,1,0.6387,,0.6208,,0.5751,,6.0,,418.2,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,256.0,16.0,
variant3,,1,0.613,,0.6049,,0.5719,,6.0,,445.0,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,512.0,8.0,
variant3,,1,0.6115,,0.5945,,0.5764,,7.0,,639.5,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,512.0,16.0,
variant3,,1,0.5958,,0.5808,,0.5569,,6.0,,790.9,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,1024.0,8.0,
variant3,,1,0.6149,,0.5947,,0.5558,,5.0,,1004.1,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,1024.0,16.0,
variant3,,1,0.5973,,0.5577,,0.5529,,7.0,,410.1,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,256.0,8.0,
variant3,,1,0.6084,,0.5721,,0.5659,,6.0,,413.1,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,256.0,16.0,
variant3,,1,0.5816,,0.5519,,0.528,,7.0,,470.8,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,512.0,8.0,
variant3,,1,0.5958,,0.5415,,0.5138,,4.0,,507.8,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,512.0,16.0,
variant3,,1,0.551,,0.5307,,0.5278,,22.0,,1507.4,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,1024.0,8.0,
variant3,,1,0.5467,,0.5397,,0.5294,,9.0,,1252.4,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,1024.0,16.0,
variant4,,2,0.5502,0.0499,0.5327,0.0496,0.5174,0.0291,7.5,2.1213,309.75,37.8302,768,by_model_text_dmodel_experts,TFE-A,,,,,,256.0,8.0,
variant4,,2,0.5812,0.052,0.548,0.0412,0.5165,0.0207,5.5,2.1213,286.8,35.4968,768,by_model_text_dmodel_experts,TFE-A,,,,,,256.0,16.0,
variant4,,2,0.5523,0.0355,0.5435,0.0371,0.5234,0.0482,6.0,1.4142,280.1,19.6576,768,by_model_text_dmodel_experts,TFE-A,,,,,,512.0,8.0,
variant4,,2,0.5795,0.0349,0.5461,0.0345,0.525,0.041,4.5,0.7071,268.75,18.0312,768,by_model_text_dmodel_experts,TFE-A,,,,,,512.0,16.0,
variant4,,2,0.5656,0.0493,0.5346,0.0566,0.5097,0.0337,10.5,2.1213,724.65,65.266,768,by_model_text_dmodel_experts,TFE-A,,,,,,1024.0,8.0,
variant4,,2,0.5786,0.0542,0.542,0.0612,0.5232,0.0469,8.0,2.8284,583.3,87.9641,768,by_model_text_dmodel_experts,TFE-A,,,,,,1024.0,16.0,
variant4,,2,0.5512,0.0306,0.5194,0.0145,0.5151,0.0076,8.5,3.5355,337.9,79.7616,1024,by_model_text_dmodel_experts,TFE-B,,,,,,256.0,8.0,
variant4,,2,0.5709,0.0033,0.5256,0.0192,0.5067,0.0175,10.5,7.7782,414.5,195.3029,1024,by_model_text_dmodel_experts,TFE-B,,,,,,256.0,16.0,
variant4,,2,0.5564,0.0395,0.5405,0.0362,0.5222,0.0364,10.0,0.0,379.75,14.2128,1024,by_model_text_dmodel_experts,TFE-B,,,,,,512.0,8.0,
variant4,,2,0.5483,0.0033,0.5282,0.023,0.5111,0.0225,8.5,4.9497,366.35,105.571,1024,by_model_text_dmodel_experts,TFE-B,,,,,,512.0,16.0,
variant4,,2,0.5474,0.0664,0.5212,0.0576,0.5101,0.0392,10.0,1.4142,747.55,62.8618,1024,by_model_text_dmodel_experts,TFE-B,,,,,,1024.0,8.0,
variant4,,2,0.5506,0.0655,0.5221,0.0731,0.5032,0.058,12.5,3.5355,792.85,108.1166,1024,by_model_text_dmodel_experts,TFE-B,,,,,,1024.0,16.0,
