run_id,model,text_cfg,audio_cfg,video_cfg,d_model,num_experts,tfe_dim,afe_dim,vfe_dim,best_epoch,best_dev_f1,test_acc,test_f1,elapsed_sec,text_backbone,audio_backbone,video_backbone,text_cfg_only,audio_cfg_only,video_cfg_only,text_backbone_label,audio_backbone_label,video_backbone_label,model_label
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-B_cfg1_d256_e8,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-B_cfg1,256,8,1024,1024,1792,3,0.4408,0.5264,0.4683,442.8,TFE-C,AFE-B,VFE-B,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,VFE-B-1792,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-B_cfg1_d512_e16,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-B_cfg1,512,16,1024,1024,1792,6,0.4599,0.5046,0.4821,987.7,TFE-C,AFE-B,VFE-B,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,VFE-B-1792,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-B_cfg1_d512_e8,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-B_cfg1,512,8,1024,1024,1792,6,0.4506,0.5069,0.4709,815.0,TFE-C,AFE-B,VFE-B,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,VFE-B-1792,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-C_cfg1_VFE-A_cfg1_d1024_e8,variant1,TFE-C_cfg1,AFE-C_cfg1,VFE-A_cfg1,1024,8,1024,1024,2048,23,0.3432,0.3851,0.3471,2807.1,TFE-C,AFE-C,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,AFE-C-1024,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-C_cfg1_VFE-A_cfg1_d256_e16,variant1,TFE-C_cfg1,AFE-C_cfg1,VFE-A_cfg1,256,16,1024,1024,2048,13,0.3523,0.3946,0.3576,942.5,TFE-C,AFE-C,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,AFE-C-1024,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-C_cfg1_VFE-A_cfg1_d256_e8,variant1,TFE-C_cfg1,AFE-C_cfg1,VFE-A_cfg1,256,8,1024,1024,2048,19,0.3424,0.3766,0.3436,952.9,TFE-C,AFE-C,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,AFE-C-1024,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-C_cfg1_VFE-A_cfg1_d512_e16,variant1,TFE-C_cfg1,AFE-C_cfg1,VFE-A_cfg1,512,16,1024,1024,2048,15,0.3495,0.4103,0.3621,1434.1,TFE-C,AFE-C,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,AFE-C-1024,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-C_cfg1_VFE-A_cfg1_d512_e8,variant1,TFE-C_cfg1,AFE-C_cfg1,VFE-A_cfg1,512,8,1024,1024,2048,19,0.3434,0.3992,0.3591,1428.5,TFE-C,AFE-C,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,AFE-C-1024,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg3_AFE-B_cfg3_VFE-A_cfg3_d1024_e8,variant1,TFE-C_cfg3,AFE-B_cfg3,VFE-A_cfg3,1024,8,1024,1024,2048,6,0.4547,0.495,0.4759,1604.2,TFE-C,AFE-B,VFE-A,cfg3,cfg3,cfg3,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg3_AFE-B_cfg3_VFE-A_cfg3_d256_e16,variant1,TFE-C_cfg3,AFE-B_cfg3,VFE-A_cfg3,256,16,1024,1024,2048,4,0.4763,0.5172,0.486,599.3,TFE-C,AFE-B,VFE-A,cfg3,cfg3,cfg3,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg3_AFE-B_cfg3_VFE-A_cfg3_d256_e8,variant1,TFE-C_cfg3,AFE-B_cfg3,VFE-A_cfg3,256,8,1024,1024,2048,10,0.4618,0.4962,0.4841,678.7,TFE-C,AFE-B,VFE-A,cfg3,cfg3,cfg3,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg3_AFE-B_cfg3_VFE-A_cfg3_d512_e16,variant1,TFE-C_cfg3,AFE-B_cfg3,VFE-A_cfg3,512,16,1024,1024,2048,9,0.4627,0.4935,0.472,1179.2,TFE-C,AFE-B,VFE-A,cfg3,cfg3,cfg3,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg3_AFE-B_cfg3_VFE-A_cfg3_d512_e8,variant1,TFE-C_cfg3,AFE-B_cfg3,VFE-A_cfg3,512,8,1024,1024,2048,6,0.4649,0.5345,0.4928,811.5,TFE-C,AFE-B,VFE-A,cfg3,cfg3,cfg3,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg4_AFE-B_cfg1_VFE-A_cfg1_d1024_e8,variant1,TFE-C_cfg4,AFE-B_cfg1,VFE-A_cfg1,1024,8,1024,1024,2048,6,0.4652,0.487,0.4836,1564.5,TFE-C,AFE-B,VFE-A,cfg4,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg4_AFE-B_cfg1_VFE-A_cfg1_d256_e16,variant1,TFE-C_cfg4,AFE-B_cfg1,VFE-A_cfg1,256,16,1024,1024,2048,4,0.4865,0.5414,0.5018,587.6,TFE-C,AFE-B,VFE-A,cfg4,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg4_AFE-B_cfg1_VFE-A_cfg1_d256_e8,variant1,TFE-C_cfg4,AFE-B_cfg1,VFE-A_cfg1,256,8,1024,1024,2048,9,0.4765,0.5149,0.4902,640.7,TFE-C,AFE-B,VFE-A,cfg4,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg4_AFE-B_cfg1_VFE-A_cfg1_d512_e16,variant1,TFE-C_cfg4,AFE-B_cfg1,VFE-A_cfg1,512,16,1024,1024,2048,3,0.4728,0.5188,0.4905,764.0,TFE-C,AFE-B,VFE-A,cfg4,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg4_AFE-B_cfg1_VFE-A_cfg1_d512_e8,variant1,TFE-C_cfg4,AFE-B_cfg1,VFE-A_cfg1,512,8,1024,1024,2048,9,0.4862,0.4885,0.4651,937.2,TFE-C,AFE-B,VFE-A,cfg4,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-D_cfg1_AFE-B_cfg1_VFE-A_cfg1_d1024_e8,variant1,TFE-D_cfg1,AFE-B_cfg1,VFE-A_cfg1,1024,8,1024,1024,2048,13,0.5592,0.6008,0.5878,2304.4,TFE-D,AFE-B,VFE-A,cfg1,cfg1,cfg1,BERT-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-D_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e16,variant1,TFE-D_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,16,1024,1024,2048,9,0.5769,0.6134,0.6101,808.4,TFE-D,AFE-B,VFE-A,cfg1,cfg1,cfg1,BERT-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-D_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e8,variant1,TFE-D_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,8,1024,1024,2048,6,0.5849,0.61,0.5901,546.4,TFE-D,AFE-B,VFE-A,cfg1,cfg1,cfg1,BERT-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-D_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e16,variant1,TFE-D_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,16,1024,1024,2048,7,0.5851,0.6169,0.6037,1022.8,TFE-D,AFE-B,VFE-A,cfg1,cfg1,cfg1,BERT-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-D_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e8,variant1,TFE-D_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,8,1024,1024,2048,15,0.563,0.6119,0.5864,1293.5,TFE-D,AFE-B,VFE-A,cfg1,cfg1,cfg1,BERT-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-E_cfg1_AFE-B_cfg1_VFE-A_cfg1_d1024_e8,variant1,TFE-E_cfg1,AFE-B_cfg1,VFE-A_cfg1,1024,8,1024,1024,2048,5,0.5284,0.5774,0.5355,1428.6,TFE-E,AFE-B,VFE-A,cfg1,cfg1,cfg1,Electra-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-E_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e16,variant1,TFE-E_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,16,1024,1024,2048,7,0.5449,0.5778,0.5627,720.0,TFE-E,AFE-B,VFE-A,cfg1,cfg1,cfg1,Electra-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-E_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e8,variant1,TFE-E_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,8,1024,1024,2048,7,0.5348,0.5966,0.5649,584.8,TFE-E,AFE-B,VFE-A,cfg1,cfg1,cfg1,Electra-Large,WavLM-Large,ResNet50,MoE Mamba Experts
